08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"

08-05-2019 15:52:50.845,0,RECV,7E0072900013A200417E3816FFFE4100000001DFF4F5F2F1FBC000441B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC6381FF1F6C193B95FFF0B75CA0B11C9B39CA0B19CA0B19C0B06C40B75C16B69CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B62C100008B93C59B47C193B95C3FC
08-05-2019 15:52:50.945,1,RECV,7E0072900013A200417E3816FFFE4100000002DFF4F5F2F1FBC000441B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC6381FF1F6C193B95FFF0B75CA0B11C9B39CA0B19CA0B19C0B06C40B75C16B69CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B62C100008B93C59B47C193B95C3FB
08-05-2019 15:52:52.344,2,RECV,7E006D900013A200417E3816FFFE4100000003DFF4F5F4F4F9C000443B399CCCCC0C00CCCFF1CCF1CCF078FFEEC7913FF1F6C193B95FFF0B77CA0B08C9B38C0B00C0B06CA0B12C38B88C16B25CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B87C100017B70C59B40C193B21C31D1
08-05-2019 15:52:52.744,3,RECV,7E0071900013A200417E3816FFFE4100000004DFF4F5F2F1FBC000443B800CF7CCCCC0B00C0B00C060180CCCF3F049FFEEC8289FF1F6C193B95FFF0B77CA0B11C9B38C0B00CA0B06C0B00C40B75C16B38CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B87C100017B70C59B40C193B21C31E4
08-05-2019 15:52:53.744,4,RECV,7E0071900013A200417E3816FFFE4100000005DFF4F5F2F1FBC000444B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC9312FF1F6C193B95FFF0B76CA0B08C9B40C0B06C0B00C0B06C40B06C17B06CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B91C100015B75C59B14C193B38C394
08-05-2019 15:52:53.854,5,RECV,7E0071900013A200417E3816FFFE4100000006DFF4F5F2F1FBC000444B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC9312FF1F6C193B95FFF0B76CA0B08C9B40C0B06C0B00C0B06C40B06C17B06CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B91C100015B75C59B14C193B38C393
08-05-2019 15:52:54.855,6,RECV,7E0071900013A200417E3816FFFE4100000007DFF4F5F2F1FBC000445B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC10375F1F6C193B95FFF0B76CA0B09C9B39C0B06C0B06C0B00C40B38C17B06CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B93C100015B98C59B17C193B36C321
08-05-2019 15:52:54.955,7,RECV,7E0072900013A200417E3816FFFE4100000008DFF4F5F2F1FBC000445B800CF7CCCCC0B00C0B00C060180CCCF3F04FFEFFEEC10445F1F6C193B95FFF0B77CA0B11C9B36CA0B06C0B12C0B06C39B69C16B69CA3B00C359B94C4B62C0B50C0B79CA0B09C9B77C23B94C100016B45C59B06C193B32C319D
08-05-2019 15:52:55.945,8,RECV,7E0072900013A200417E3816FFFE4100000009DFF4F5F2F1FBC000446B800CF7CCCCC0B00C0B00C060180CCCF3F04FFBFFEEC11479F1F6C193B95FFF0B78CA0B10C9B38C0B00CA0B06CA0B06C39B69C17B75CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B95C100017B75C58B93C193B21C36A
08-05-2019 15:52:56.345,9,RECV,7E006E900013A200417E3816FFFE410000000ADFF4F5F4F4F9C000447B399CCCCC0C00CCCFF1CCF1CCF07FFBFFEEC11881F1F6C193B95FFF0B75CA0B11C9B40CA0B12C0B06CA0B06C39B00C16B69CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B95C100017B75C58B93C193B21C343
08-05-2019 15:52:57.345,10,RECV,7E006D900013A200417E3816FFFE410000000BDFF4F5F4F4F9C000448B399CCCCC0C00CCCFF1CCF1CCF073FFEEC12885F1F6C193B95FFF0B75CA0B09C9B37CA0B06C0B00CA0B06C40B75C16B69CA4B88C359B94C4B62C0B50C0B79CA0B09C9B77C23B95C100013B56C59B23C193B56C343
08-05-2019 15:52:57.445,11,RECV,7E006D900013A200417E3816FFFE410000000CDFF4F5F4F4F9C000448B399CCCCC0C00CCCFF1CCF1CCF073FFEEC12950F1F6C193B95FFF0B76CA0B09C9B39C0B06CA0B06C0B00C41B19C16B00CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B95C100013B56C59B23C193B56C310D
08-05-2019 15:52:58.755,12,RECV,7E0070900013A200417E3816FFFE410000000DDFF4F5F2F1FBC000449B800CF7CCCCC0B00C0B00C060180CCCF3F043FFEEC14321F1F6C193B95FFF0B77CA0B11C9B36C0B06C0B19C0B12C39B69C17B06CA3B06C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100017B39C59B64C193B24C341
08-05-2019 15:52:58.865,13,RECV,7E0070900013A200417E3816FFFE410000000EDFF4F5F2F1FBC000449B800CF7CCCCC0B00C0B00C060180CCCF3F043FFEEC14321F1F6C193B95FFF0B77CA0B11C9B36C0B06C0B19C0B12C39B69C17B06CA3B06C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100017B39C59B64C193B24C340
08-05-2019 15:52:59.815,14,RECV,7E0072900013A200417E3816FFFE410000000FDFF4F5F2F1FBC000450B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC15373F1F6C193B95FFF0B75CA0B11C9B40C0B00CA0B19C0B06C41B19C18B19CA3B75C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100016B09C59B86C193B35C31E0
08-05-2019 15:52:59.945,15,RECV,7E0072900013A200417E3816FFFE4100000010DFF4F5F2F1FBC000450B800CF7CCCCC0B00C0B00C060180CCCF3F04FFAFFEEC15442F1F6C193B95FFF0B74CA0B11C9B36C0B06CA0B06C0B00C40B06C17B06CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100016B09C59B86C193B35C3147
08-05-2019 15:53:01.295,16,RECV,7E006D900013A200417E3816FFFE4100000011DFF4F5F4F4F9C000452B399CCCCC0C00CCCFF1CCF1CCF078FFEEC16860F1F6C193B95FFF0B78CA0B10C9B38C0B06C0B19CA0B06C40B06C17B38CA2B56C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100015B09C59B92C193B43C3172
08-05-2019 15:53:01.415,17,RECV,7E006D900013A200417E3816FFFE4100000012DFF4F5F4F4F9C000452B399CCCCC0C00CCCFF1CCF1CCF078FFEEC16918F1F6C193B95FFF0B77CA0B10C9B36C0B00CA0B19C0B06C40B75C17B38CA4B19C359B94C4B62C0B50C0B79CA0B09C9B77C23B96C100015B09C59B92C193B43C31B9
08-05-2019 15:53:02.765,18,RECV,7E0071900013A200417E3816FFFE4100000013DFF4F5F2F1FBC000453B800CF7CCCCC0B00C0B00C060180CCCF3F048FFEEC18331F1F6C193B95FFF0B76CA0B10C9B41C0B00CA0B06C0B06C40B06C16B69CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100018B92C59B69C193B11C317A
